date,open,high,low,close,volume,is_up,macd_fast_blue,macd_slow_red,macd_signal-hist
2024-06-12 09:16:00,50072.00,50098.75,50052.80,50067.00,630.00,False,0.0,0.0,0.0
2024-06-12 09:16:00,50067.00,50098.75,50052.80,50062.00,630.00,False,0.0,0.0,0.0
2024-06-12 09:17:00,50062.00,50073.80,50052.00,50057.00,307.50,False,0.0,0.0,0.0
2024-06-12 09:17:00,50057.00,50073.80,50052.00,50052.00,307.50,False,0.0,0.0,0.0
2024-06-12 09:19:00,50052.00,50058.90,50029.75,50047.00,945.00,False,0.0,0.0,0.0
2024-06-12 09:20:00,50047.00,50043.35,50010.05,50042.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:20:00,50042.00,50043.35,50010.05,50037.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:20:00,50037.00,50043.35,50010.05,50032.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:20:00,50032.00,50043.35,50010.05,50027.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:20:00,50027.00,50043.35,50010.05,50022.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:20:00,50022.00,50043.35,50010.05,50017.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:20:00,50017.00,50043.35,50010.05,50012.00,143.57,False,0.0,0.0,0.0
2024-06-12 09:21:00,50017.00,50045.20,50005.85,50022.00,228.75,True,0.0,0.0,0.0
2024-06-12 09:21:00,50022.00,50045.20,50005.85,50027.00,228.75,True,0.0,0.0,0.0
2024-06-12 09:21:00,50027.00,50045.20,50005.85,50032.00,228.75,True,0.0,0.0,0.0
2024-06-12 09:21:00,50032.00,50045.20,50005.85,50037.00,228.75,True,0.0,0.0,0.0
2024-06-12 09:22:00,50037.00,50069.70,50033.60,50042.00,555.00,True,0.0,0.0,0.0
2024-06-12 09:22:00,50042.00,50069.70,50033.60,50047.00,555.00,True,0.0,0.0,0.0
2024-06-12 09:24:00,50047.00,50060.00,50032.15,50052.00,165.00,True,0.0,0.0,0.0
2024-06-12 09:24:00,50052.00,50060.00,50032.15,50057.00,165.00,True,0.0,0.0,0.0
2024-06-12 09:25:00,50057.00,50083.60,50050.95,50062.00,465.00,True,0.0,0.0,0.0
2024-06-12 09:28:00,50057.00,50092.40,50048.50,50052.00,1635.00,False,0.0,0.0,0.0
2024-06-12 09:29:00,50057.00,50079.95,50048.10,50062.00,80.00,True,0.0,0.0,0.0
2024-06-12 09:29:00,50062.00,50079.95,50048.10,50067.00,80.00,True,0.0,0.0,0.0
2024-06-12 09:29:00,50067.00,50079.95,50048.10,50072.00,80.00,True,0.0,0.0,0.0
2024-06-12 09:31:00,50067.00,50085.00,50035.50,50062.00,110.00,False,11.07,0.0,0.0
2024-06-12 09:31:00,50062.00,50085.00,50035.50,50057.00,110.00,False,10.34,0.0,0.0
2024-06-12 09:31:00,50057.00,50085.00,50035.50,50052.00,110.00,False,9.24,0.0,0.0
2024-06-12 09:31:00,50052.00,50085.00,50035.50,50047.00,110.00,False,7.88,0.0,0.0
2024-06-12 09:31:00,50047.00,50085.00,50035.50,50042.00,110.00,False,6.33,0.0,0.0
2024-06-12 09:31:00,50042.00,50085.00,50035.50,50037.00,110.00,False,4.64,0.0,0.0
2024-06-12 09:32:00,50042.00,50059.80,50030.00,50047.00,645.00,True,4.06,0.0,0.0
2024-06-12 09:36:00,50042.00,50057.55,50032.50,50037.00,1725.00,False,2.76,0.0,0.0
2024-06-12 09:37:00,50042.00,50086.90,50041.05,50047.00,129.00,True,2.51,6.54,-4.03
2024-06-12 09:37:00,50047.00,50086.90,50041.05,50052.00,129.00,True,2.68,5.77,-3.08
2024-06-12 09:37:00,50052.00,50086.90,50041.05,50057.00,129.00,True,3.19,5.25,-2.06
2024-06-12 09:37:00,50057.00,50086.90,50041.05,50062.00,129.00,True,3.95,4.99,-1.04
2024-06-12 09:37:00,50062.00,50086.90,50041.05,50067.00,129.00,True,4.89,4.97,-0.08
2024-06-12 09:38:00,50067.00,50100.00,50056.05,50072.00,302.50,True,5.98,5.17,0.81
2024-06-12 09:38:00,50072.00,50100.00,50056.05,50077.00,302.50,True,7.16,5.57,1.59
2024-06-12 09:38:00,50077.00,50100.00,50056.05,50082.00,302.50,True,8.4,6.14,2.27
2024-06-12 09:38:00,50082.00,50100.00,50056.05,50087.00,302.50,True,9.68,6.85,2.84
2024-06-12 09:38:00,50087.00,50100.00,50056.05,50092.00,302.50,True,10.97,7.67,3.3
2024-06-12 09:38:00,50092.00,50100.00,50056.05,50097.00,302.50,True,12.25,8.59,3.67
2024-06-12 09:40:00,50097.00,50123.50,50082.65,50102.00,348.00,True,13.52,9.57,3.94
2024-06-12 09:40:00,50102.00,50123.50,50082.65,50107.00,348.00,True,14.75,10.61,4.14
2024-06-12 09:40:00,50107.00,50123.50,50082.65,50112.00,348.00,True,15.95,11.68,4.27
2024-06-12 09:40:00,50112.00,50123.50,50082.65,50117.00,348.00,True,17.11,12.76,4.35
2024-06-12 09:40:00,50117.00,50123.50,50082.65,50122.00,348.00,True,18.22,13.86,4.36
2024-06-12 09:42:00,50122.00,50130.00,50098.20,50127.00,2070.00,True,19.28,14.94,4.34
2024-06-12 09:43:00,50127.00,50133.60,50117.65,50132.00,270.00,True,20.29,16.01,4.28
2024-06-12 09:44:00,50132.00,50142.15,50120.05,50137.00,480.00,True,21.25,17.06,4.19
2024-06-12 09:45:00,50137.00,50158.15,50127.00,50142.00,273.75,True,22.16,18.08,4.08
2024-06-12 09:45:00,50142.00,50158.15,50127.00,50147.00,273.75,True,23.02,19.07,3.95
2024-06-12 09:45:00,50147.00,50158.15,50127.00,50152.00,273.75,True,23.82,20.02,3.81
2024-06-12 09:45:00,50152.00,50158.15,50127.00,50157.00,273.75,True,24.59,20.93,3.65
2024-06-12 09:46:00,50157.00,50169.00,50148.40,50162.00,352.50,True,25.3,21.8,3.5
2024-06-12 09:46:00,50162.00,50169.00,50148.40,50167.00,352.50,True,25.97,22.64,3.33
2024-06-12 09:48:00,50167.00,50182.65,50158.70,50172.00,1132.50,True,26.6,23.43,3.17
2024-06-12 09:48:00,50172.00,50182.65,50158.70,50177.00,1132.50,True,27.19,24.18,3.01
2024-06-12 09:50:00,50177.00,50207.60,50167.00,50182.00,684.00,True,27.74,24.89,2.84
2024-06-12 09:50:00,50182.00,50207.60,50167.00,50187.00,684.00,True,28.25,25.56,2.69
2024-06-12 09:50:00,50187.00,50207.60,50167.00,50192.00,684.00,True,28.73,26.2,2.53
2024-06-12 09:50:00,50192.00,50207.60,50167.00,50197.00,684.00,True,29.18,26.79,2.38
2024-06-12 09:50:00,50197.00,50207.60,50167.00,50202.00,684.00,True,29.59,27.35,2.24
