date,open,high,low,close,volume,oi
2024-06-11 09:15:00,49950.0,49950.0,49852.85,49904.5,2370,235830.0
2024-06-11 09:16:00,49890.0,49962.05,49890.0,49960.0,1785,235830.0
2024-06-11 09:17:00,49959.75,49979.05,49940.0,49965.0,660,235830.0
2024-06-11 09:18:00,49960.0,49961.45,49925.0,49932.95,1170,235380.0
2024-06-11 09:19:00,49930.15,49949.0,49916.35,49947.6,570,235380.0
2024-06-11 09:20:00,49960.0,50000.0,49942.45,49960.95,1230,235380.0
2024-06-11 09:21:00,49959.0,49959.0,49925.55,49954.25,735,235245.0
2024-06-11 09:22:00,49959.75,49999.7,49954.25,49981.2,570,235245.0
2024-06-11 09:23:00,49970.75,49973.1,49932.95,49940.3,1095,235245.0
2024-06-11 09:24:00,49931.45,49965.3,49931.45,49965.3,960,235425.0
2024-06-11 09:25:00,49959.45,50010.7,49958.15,50010.7,810,235425.0
2024-06-11 09:26:00,50010.55,50035.95,49996.9,50011.95,1575,235425.0
2024-06-11 09:27:00,50011.95,50015.0,49982.05,49995.0,975,235425.0
2024-06-11 09:28:00,50000.0,50038.6,50000.0,50009.05,795,235425.0
2024-06-11 09:29:00,50027.9,50045.9,50008.05,50011.45,525,235425.0
2024-06-11 09:30:00,50020.0,50034.0,50001.0,50034.0,360,234840.0
2024-06-11 09:31:00,50007.65,50007.65,49982.45,50000.0,255,234840.0
2024-06-11 09:32:00,50000.0,50000.0,49940.0,49955.95,1125,234840.0
2024-06-11 09:33:00,49950.0,49970.0,49929.0,49933.3,1560,235350.0
2024-06-11 09:34:00,49926.35,49939.95,49911.25,49911.25,1335,235350.0
2024-06-11 09:35:00,49923.75,49929.95,49886.45,49897.0,2145,235350.0
2024-06-11 09:36:00,49915.95,49930.0,49910.0,49910.45,1110,236805.0
2024-06-11 09:37:00,49910.0,49910.0,49861.4,49871.3,1290,236805.0
2024-06-11 09:38:00,49867.1,49881.05,49859.15,49860.0,915,236805.0
2024-06-11 09:39:00,49880.5,49900.0,49859.0,49873.75,1245,237660.0
2024-06-11 09:40:00,49860.0,49904.0,49852.0,49893.25,1110,237660.0
2024-06-11 09:41:00,49899.8,49941.0,49883.1,49927.55,825,237660.0
