instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|35334,35334.0,MIDCPNIFTY24JUL12575PE,,1300.35,2024-07-29,12575.0,0.05,50.0,OPTIDX,PE,NSE_FO
NSE_FO|35335,35335.0,MIDCPNIFTY24JUL12625CE,,68.55,2024-07-29,12625.0,0.05,50.0,OPTIDX,CE,NSE_FO
NSE_FO|35363,35363.0,BANKNIFTY24JUN39500CE,,8046.95,2024-06-26,39500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35364,35364.0,BANKNIFTY24JUN39500PE,,2.2,2024-06-26,39500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35365,35365.0,BANKNIFTY24JUN40000CE,,10390.0,2024-06-26,40000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35366,35366.0,BANKNIFTY24JUN40000PE,,2.05,2024-06-26,40000.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35398,35398.0,BANKNIFTY24JUN41000CE,,9300.0,2024-06-26,41000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35434,35434.0,MIDCPNIFTY24JUL12625PE,,1343.65,2024-07-29,12625.0,0.05,50.0,OPTIDX,PE,NSE_FO
NSE_FO|35523,35523.0,BANKNIFTY24JUN53200CE,,7.0,2024-06-26,53200.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35535,35535.0,BANKNIFTY24JUN53200PE,,2788.05,2024-06-26,53200.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35536,35536.0,BANKNIFTY24JUN53300CE,,6.45,2024-06-26,53300.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35537,35537.0,BANKNIFTY24JUN53300PE,,2908.65,2024-06-26,53300.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35539,35539.0,BANKNIFTY24JUN53700CE,,5.45,2024-06-26,53700.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35540,35540.0,BANKNIFTY24JUN53700PE,,3291.8,2024-06-26,53700.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35541,35541.0,BANKNIFTY24JUN53800CE,,5.25,2024-06-26,53800.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35542,35542.0,BANKNIFTY24JUN53800PE,,3384.7,2024-06-26,53800.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35561,35561.0,BANKNIFTY24JUN53400CE,,6.65,2024-06-26,53400.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35562,35562.0,BANKNIFTY24JUN53400PE,,3008.55,2024-06-26,53400.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35575,35575.0,BANKNIFTY24JUN53600CE,,5.8,2024-06-26,53600.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35580,35580.0,BANKNIFTY24JUN53600PE,,3193.4,2024-06-26,53600.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35608,35608.0,BANKNIFTY24JUN41000PE,,2.2,2024-06-26,41000.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35701,35701.0,BANKNIFTY24JUN41500CE,,7947.2,2024-06-26,41500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35709,35709.0,FINNIFTY24JUN20150PE,,11.25,2024-06-25,20150.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35710,35710.0,BANKNIFTY24JUN53900CE,,5.35,2024-06-26,53900.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35711,35711.0,BANKNIFTY24JUN41500PE,,2.55,2024-06-26,41500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35718,35718.0,BANKNIFTY24JUN53900PE,,3513.15,2024-06-26,53900.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35731,35731.0,FINNIFTY24JUN20250CE,,1856.35,2024-06-25,20250.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35732,35732.0,FINNIFTY24JUN20250PE,,14.65,2024-06-25,20250.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35733,35733.0,FINNIFTY24JUN20350CE,,1761.1,2024-06-25,20350.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35734,35734.0,FINNIFTY24JUN20350PE,,18.85,2024-06-25,20350.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35735,35735.0,FINNIFTY24JUN20450CE,,1666.85,2024-06-25,20450.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35766,35766.0,FINNIFTY24JUN20450PE,,24.1,2024-06-25,20450.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35767,35767.0,FINNIFTY24JUN20550CE,,1573.75,2024-06-25,20550.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35861,35861.0,FINNIFTY24JUN25100CE,,1.3,2024-06-25,25100.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35862,35862.0,FINNIFTY24JUN25100PE,,3499.85,2024-06-25,25100.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35983,35983.0,BANKNIFTY24AUG39500CE,,9722.35,2024-08-28,39500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35984,35984.0,BANKNIFTY24AUG39500PE,,9.6,2024-08-28,39500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|36082,36082.0,FINNIFTY24JUN20550PE,,2.5,2024-06-25,20550.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36083,36083.0,FINNIFTY24JUN20650CE,,1482.0,2024-06-25,20650.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36084,36084.0,FINNIFTY24JUN20650PE,,2.05,2024-06-25,20650.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36087,36087.0,FINNIFTY24JUN20750CE,,1391.8,2024-06-25,20750.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36088,36088.0,FINNIFTY24JUN20750PE,,47.45,2024-06-25,20750.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36089,36089.0,FINNIFTY24JUN20850CE,,1303.35,2024-06-25,20850.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36164,36164.0,FINNIFTY24JUN20850PE,,58.4,2024-06-25,20850.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36165,36165.0,FINNIFTY24JUN20950CE,,1216.85,2024-06-25,20950.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36166,36166.0,FINNIFTY24JUN20950PE,,71.4,2024-06-25,20950.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36181,36181.0,FINNIFTY24JUN21050CE,,1132.5,2024-06-25,21050.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36189,36189.0,FINNIFTY24JUN21050PE,,86.5,2024-06-25,21050.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36190,36190.0,FINNIFTY24JUN21150CE,,1050.6,2024-06-25,21150.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36365,36365.0,FINNIFTY24JUN21150PE,,104.05,2024-06-25,21150.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36366,36366.0,FINNIFTY24JUN21250CE,,971.25,2024-06-25,21250.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36417,36417.0,FINNIFTY24JUN21250PE,,124.2,2024-06-25,21250.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36420,36420.0,FINNIFTY24JUN21350CE,,894.75,2024-06-25,21350.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36629,36629.0,BANKNIFTY24AUG40000CE,,9236.3,2024-08-28,40000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|36630,36630.0,BANKNIFTY24AUG40000PE,,14.55,2024-08-28,40000.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|36635,36635.0,BANKNIFTY24AUG40500CE,,8752.4,2024-08-28,40500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|36636,36636.0,BANKNIFTY24AUG40500PE,,21.6,2024-08-28,40500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|36667,36667.0,FINNIFTY24JUN21350PE,,147.15,2024-06-25,21350.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36668,36668.0,FINNIFTY24JUN21450CE,,821.1,2024-06-25,21450.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36673,36673.0,FINNIFTY24JUN21450PE,,7.45,2024-06-25,21450.0,0.05,40.0,OPTIDX,PE,NSE_FO
